car_id,make,model,trim,year,title,description,photo_url,price_aed,mileage_km,body_type,exterior_color,transmission,fuel_type,condition,warranty_years,regional_spec
10,mazda,cx-5,gl,2024,Mazda CX 5 2024 gcc accident free single owner under warranty,"Mazda CX-5 2024 mid option with push start cruise control rear camera Bluetooth gcc accident free single owner
GCC
Full service history
Well maintained
Multiple payment option available",https://dbz-images.dubizzle.com/images/2026/02/07/ba0cfc5c375e4d3b886d8333b68dfe82-.jpeg?impolicy=dpv,,,suv,,,,used,,GCC
11,mercedes-benz,c-class,c63 s amg,2024,BENZ C63s | E PERFORMANCE | 2024 | 1739Km ONLY| BRAND NEW | FRESH JAPAN IMPORT,"• Mercedes Benz C63s
• Year Of the Model - 2024
• E Performance
• Fully Loaded
• Black Interior
• Low Mileage
• Japan Imported
• Recently Arrived
• Neat & Clean Car
•••••••••••••••••••••••••••••••••••••••••••••••••••••••
Follow Us On Instagram For More Luxury Cars, Just Click on the Link.
•••••••••••••••••••••••••••••••••••••••••••••••••••••••
We have Direct access more then 160 Auctions in Japan. We can buy any type or any Model of the car by your Special Order,
So if you are Looking for Any type of the Car, Contact with Us or visit Our Showroom Mirza Automobile FZE,
•••••••••••••••••••••••••••••••••••••••••••••••••••••••
About Us :
A name you can trust, Welcome to Mirza Automobile FZE, We've been in the auto industry for 16 years in UAE, and 30 years in Japan.
•••••••••••••••••••••••••••••••••••••••••••••••••••••••
•••••••••••••••••••••••••••••••••••••••••••••••••••••••
Our Service : ( VIP )
• Flexible finance and insurance options .
• Expert sales and after-sales support .
• Car registration assistance .
( Insurance - Registration ) .
• Export deals and services available .
• we can deliver the car to any where on U.A.E<b",https://dbz-images.dubizzle.com/images/2026/04/17/4d41721e2ad2426ca721fe8eac906622-.jpeg?impolicy=dpv,,1739.0,sedan,,,,new,,Japanese
12,land rover,range rover sport,supercharged,2015,RANGE ROVER SPORT V8 * FULL OPTIONS * GCC SPEC * PANORAMIC * WELL_MAINTAINED,"SUPERCHARGED V8
GCC
AWESOME WHITE COLOR
TOP OF THE OPTIONS
PANORAMIC ROOF
PERFECT RANGE ROVER SPORT
GCC !
UNIQUE CONDITION !!!
CLEANEST RANGE ROVER SPORT IN UAE
HIGH LINE RIMS
THERE IS NO SINGLE SCRATCH ON THE CAR
VERY NEAT INSIDE AND OUTSIDE
NEVER HAD ANY MECHANICAL PROBLEMS
ACCIDENTS FREE
SERVICED ON TIME
ORIGINAL KEYS
FRANKLY THIS IS THE BEST RR SPORT
JUST SERVICED AND DOESNT NEED SINGLE DIRHAM TO SPEND ON IT
ALWAYS PARKED UNDER COVERED PARKING
NO SMOKERS OR KIDS INSIDE THE CAR
Best part about the car is the looks since its probably the best looking so far.
Honestly we can say it’s brand new after the last service has been done as they have replaced most of the parts just to be like the brand new car!",https://dbz-images.dubizzle.com/images/2025/01/14/a1948ec20c5e4628b455ccee6fb07f83-.jpeg?impolicy=dpv,,,,,,,,,
13,byd,han,premium,2025,2025 BYD Han L EV 701KM Premium | Laser Radar | Luxury Electric Sedan,"2025 BYD Han L EV 701KM Rear-Wheel Drive Laser Radar Premium Edition | Luxury Electric Sedan | Available Now at Jebel Ali, Dubai
Experience the evolution of intelligent electric luxury with the 2025 BYD Han L EV 701KM Laser Radar Premium Edition — the new benchmark in performance, technology, and design. This flagship electric sedan combines BYD’s latest E-Platform 3.0, Blade Battery technology, and laser radar intelligent driving system to deliver an unmatched driving experience.
Now available at Jebel Ali, Dubai, this long-range luxury EV is ready to redefine your journey.
The BYD Han L EV offers an exceptional 701KM range on a single charge, thanks to its ultra-efficient rear-wheel-drive electric powertrain. It delivers instant torque, smooth acceleration, and precise control — perfect for both city cruising and long highway drives across the UAE.
Equipped with laser radar sensors and advanced driver-assistance systems, the 2025 BYD Han L enhances every journey with confidence, safety, and precision. From design to performance, every element is crafted for discerning drivers who demand innovation and sophistication.
Key Features & Highlights:
Model: 2025 BYD Han L EV 701KM RWD Laser Radar Premium Edition
Powertrain: Rear-wheel drive with high-efficiency electric motor
Battery: BYD Blade Battery for extended 701KM driving range
Performance: Instant torque, smooth acceleration, zero emissions
Intelligent System: Laser radar + AI driving assistance
Interior: Nappa leather, panoramic roof, ambient lighting, elegant trim
Infotai",https://dbz-images.dubizzle.com/images/2025/11/10/5201e82224204e539b4cce38a7137401-.jpeg?impolicy=dpv,,,sedan,,,electric,new,,
14,mercedes-benz,v-class,other,2024,"AED 3,580 P.M | 2024 Mercedes-Benz V220d 4MATIC | Under Mercedes Warranty | GCC |","AED 3,580 P.M | 2024 Mercedes-Benz V220d 4MATIC | Under Mercedes Warranty | GCC | 249,000 AED
✅ GCC Specs
✅ One Year Third Party Warranty
✅ Engine Specs: 2.0L 4-Cyl Diesel — 163 HP
AED 3,580 Monthly (20% Down Payment) Over 5 Years.
Flexible Down Payment Option.
—————————
VEHICLE SPECS:
Last Service: 17,611 Km (Jun-2025)
Next Service: 32,611 Km (Jun-2026)
GCC Specs
5 Doors / 7 Seats
4 Cylinders / Diesel
17,623 Km
163 HP
All Wheel Drive (4MATIC)
—————————
OPTIONS & FEATURES:
360° Camera
3D View
Leather Seats
4MATIC
Burmester Sound System
Lane Assist
Park Assist
—————————
CONTACT:
Anna (English & Russian)
William (Arabic & English)
Majid (Arabic & English)
—————————
FINANCING (Required):
1- Emirates ID
2- Emirates Driving License (full cover insurance for loan applicable only)
3- Passport/Visa
4- Salary Certificate
5- Bank statement (3 months)
—————————
At IQ Auto Dubai, we specialize in buying and selling prestige luxury and premium sports cars of GCC specification.
id: (A+)R4348456",https://dbz-images.dubizzle.com/images/2026/02/17/cb9e2333d232486fab6a8c169404bf88-.png?impolicy=dpv,249000.0,17623.0,van,,,diesel,used,1.0,GCC
15,bestune,t99,flago,2021,AED 713/month | 2021 Bestune T99 Flago | GCC Specs | Ref#387247,"Starting from 713 per month
Payable in 60 months
20% down payment
**Bank terms & conditions may apply
2021
Bestune T99
2000 - 2499 cc 4 cylinders
200 - 299 HP
--------------------------------------------
GCC Specs
29520 kms
1. White with Leather Interior
2. Front and Rear Parking Sensors
3. Bluetooth System
4. Keyless Entry and Start
5. Cooled and Heated Seats
6. Power Seats
7. 360 Degree Camera
8. Blind Spot Indicator
9. Adaptive Cruise Control
10. Lane Change Assist
11. Park Assist
12. Panoramic Sunroof
13. Dual Exhaust
14. Front Wheel Drive
--------------------------------------------
AED 46900
--------------------------------------------
Buy this car with confidence from dubizzle cars!
What is dubizzle cars?
We believe the process of buying and selling a car in the UAE should be easy, transparent, and hassle-free. We help sellers find the right buyers for their cars, and buyers find the right cars for their needs.
What to expect from dubizzle cars?
✅ No guesswork
Know what you're buying with our standard condition report. All cars undergo a thorough bumper-to-bumper inspection at the time of listing and a 120-point report is available for serious buyers, which checks for engine leaks, electrical components, exterior paint condition and accident history, interior condition, and tire condition.
✅ No stress
Relax as the experts at dubizzle cars do all the work for you. We manage the interaction between the buyer and seller, from beginning to end. Your funds are fully protected at the transaction stage since we manage the ownership title transfer at RTA/Muroor.
Best part?
Need a more comprehensive",https://dbz-images.dubizzle.com/images/2025/11/03/95fc6e69-2bc1-4276-874b-62d1a89741de/ffa29d9f7836488dbc6f9f626ef0e0d0-.jpg?impolicy=dpc,46900.0,29520.0,suv,White,,petrol,used,,GCC
16,nissan,sunny,s,2023,NO CONVENIENCE FEES | UNDER WARRANTY | CERTIFIED PRE-OWNED | 0% DOWN PAYMENT,"🚘 Nissan Sunny 2023 – Drive Now from Just AED 430/Month
Reliable, fuel-efficient, and perfect for daily use. The Nissan Sunny offers comfort, practicality, and low maintenance costs. Comes with 6-month warranty (extendable) and service packages for peace of mind.
⭐ Key Features
Performance
• 1.5L Fuel Efficient Engine
• Automatic Transmission
• Smooth & Comfortable Drive
Technology
• Bluetooth Connectivity
• Keyless Entry
Safety
• Dual Airbags
• ABS with EBD
• Rear Parking Sensors
Comfort & Styling
• Spacious Interior & Legroom
• Fabric Seats
• Air Conditioning
• Practical Sedan Design
📍 Location
🌐 Website
🏢 About Us – Belhasa Used Cars Trading LLC
Belhasa Used Cars Trading LLC, part of Saif Belhasa Holding, is a trusted UAE automotive company known for quality and reliability.
We offer a smooth and hassle-free car buying experience for individuals, businesses, and export clients. All vehicles are thoroughly inspected and quality-checked by Wasel Auto Repairing to ensure safety and performance.
With a focus on transparency, fair pricing, and customer satisfaction, we make every purchase simple and stress-free.",https://dbz-images.dubizzle.com/images/2026/04/16/57f357517df14f88a0bc8db46e529bf3-.jpeg?impolicy=dpv,,,sedan,,automatic,,used,0.5,
17,mercedes-benz,e-class,e 350,2021,"E350 AMG VERY LOW MILEAGE 17,000KM ONLY PERFECT CONDITION","‏MERCEDES E350 AMG TOP OPTION SUPER CLEAN -EXCELLENT CONDITION
‎‏* CAR IN VERY GOOD CONDITION, BUY AND DRIVE !
‎‏* 2021 MODEL
‏* 17,000 KM
‏* Engine Type V4 turbo :
‎‏PRICE IS NEGOTIABLE
-------------------------
‎‏COME VISIT US!
‎‏- Timing 09:00AM TO 9:00PM
‎‏- Saturday to Friday
‎‏- Location :
Dubai
-------------------------
‎‏For more details and Price about our cars please
‎* السيارة مرسيدس E350
‎* في حالة ممتازة خالية من العيوب والخدوش الداخلية والخارجية
‎* لا تشكوا من اي اعطال ميكانيكية
‎* مع امكانيه تمويل عن طريق جميع بنوك الدوله
‎*عليها ضمان وعقد صيانة
‎السعر قابل للتفاوض
‎قمة ف النظافة خالية من الخدوش الداخلية والخارجية
‎فل كامل فتحه اللوان داخلية دبة كهرباء تسخين وتبريد مقاعد عليها تخشيبه الصاج بصمه دخول بدون مفتاح نقط عمياء رادار اوتو بارك سياقه ذاتيه خمس كمرات سيراميك بروتكشن
‎ضمان وعقد صيانة
‎ملاحظه:- يوجد لدينا تسهيلات تسجيل. و. تصدير. و. تحويل
‎الى جميع انحاء العالم
‎ملاحظه:- يوجد لدينا تسهيلات اقساط شهريا وبدون دفعه اولى جميع البنوك والمصارف
‎ملاحظه :- يوجد لدينا خدمه
‎شراء و استبدال و بيع
‎جميع انواع السيارت
‎ساعات العمل :
‎السبت - الجمعة
‎ الساعه 9 صباحا - 9 مساء",https://dbz-images.dubizzle.com/images/2026/02/02/05b53eeefad04168ba09588d1353059d-.jpeg?impolicy=dpv,,17000.0,sedan,,,petrol,used,,
18,nissan,altima,sv,2023,"Nissan Altima SV – 2023 – American Specs
Model: 2023
Mileage: 83,212 KMS
Spec: American
Very wel","Nissan Altima SV – 2023 – American Specs
Model: 2023
Mileage: 83,212 KMS
Spec: American
Very well-maintained car in excellent condition.
Smooth engine and automatic transmission with comfortable driving experience.
Spacious interior, fuel-efficient, and perfect for family use.
Clean inside and outside. Ready to drive.
Serious buyers only.",https://dbz-images.dubizzle.com/images/2026/02/12/d28a0bbf03ec4622a736a0946958c1f4-.jpeg?impolicy=dpv,,83212.0,sedan,,automatic,,used,,US
19,rolls-royce,cullinan,series ii,2026,2026 ROLLS ROYCE CULLINAN BLACK BADGE WITH WARRANTY AND SERVICE CONTRACT,"2026 ROLLS ROYCE CULLINAN BLACK BADGE WITH WARRANTY AND SERVICE CONTRACT | 235131
Make : Rolls-Royce
Model : Cullinan Black Badge
Year : 2026
Regional Specs: GCC
Horsepower : 600 HP
Engine: 6.75L V12 Twin-Turbocharged
Displacement: 6750 CC
Top Speed : 250 KPH
0-100 in: 4.9 s
The Cullinan Black Badge features an all-aluminum spaceframe chassis engineered for a signature magic carpet ride. Its twin-turbocharged V12 engine delivers increased power and torque compared to the standard model. The exterior is defined by high-gloss black chrome accents and 23-inch forged alloy wheels. Inside, technical carbon fiber veneers and a starlight headliner create a bespoke environment. Advanced all-wheel drive and four-wheel steering ensure stability and precision on any terrain.",https://dbz-images.dubizzle.com/images/2026/03/03/e8cfa5ee5b454dc8be704ef8ae5ed228-.webp?impolicy=dpv,,,,,,,,,GCC
20,dodge,challenger,r/t scat pack,2021,[DODGE CHALLENGER SCATPACK 6.4L V8],"Car O’ Clock is pleased to offer the following
2021 DODGE CHALLENGER SCATPACK 6.4L V8
With Car O’ Clock you are in safe hands. Our goal is to give you a genuine, hassle-free car buying experience.
_________________________________________________________________________________
What we offer:
Warranty package that covers engine & gear (*T&C Applicable)
Free oil & filter service
Free interior detailing
Free RTA passing
Free transfer of ownership
Zero down payment finance options
Required documents:
- Salary certificate
- Last three months bank statement
- Passport copy/ Visa/ Emirates ID/ Driving license Copy
_________________________________________________________________________________
To book a viewing please call or WhatsApp us on:
Buy this car today with confidence from a team driven to keep you happy.
Please book an appointment and visit us at our showroom:
Find us on Google maps “Car O’ Clock FZC”
_________________________________________________________________________________
Additional Expenses:
Bank evaluation certificate
RTA Registration of Vehicle
Car Insurance - third party or full comprehensive
_________________________________________________________________________________
Find us on:
TikTok: caroclock.ae",https://dbz-images.dubizzle.com/images/2026/03/13/d8398d656fba4a40aba1e50d7294a610-.jpeg?impolicy=dpv,,,,,,,,,
21,hyundai,accent,other,2023,"ZERO DOWN PAYEMENT= 760, HYUNDAI ACCENT, GCC SPECS, EXCELLENT CONDITION","ZERO DOWN PAYEMENT= 760, HYUNDAI ACCENT, GCC SPECS, EXCELLENT CONDITION
Model Year: 2023
Color: White
Mileage: 45,000 KM
Specs: GCC Specifications
Ownership: First Owner (Single User)
Condition: Excellent, well-maintained, and accident-free.
Key Features:
Automatic Transmission
Keyless Entry & Power Windows
Bluetooth / USB / Steering Controls
Rear Parking Sensors
Screen Mirroring
Multiple Airbags & ABS for Safety
SUMMER PROMO will be provided.
NOTE: That EMI will be Calculated Excluding the Expenses of Registration, Insurance, Passing, Evaluation. IF client want so we will include them in the TOTLA VALUE as well.
Documents Required:
SALARY CERTIFICATE
VISA COPY
PASSPORT COPY
EMIRATES ID
LAST 3MONTHS BANK STATEMENT
For More Details:
ZEESHAN: 0581675435",https://dbz-images.dubizzle.com/images/2026/03/31/5880f7f69cee440299e31e149ea43c3a-.jpeg?impolicy=dpv,,45000.0,sedan,White,automatic,,used,,GCC
22,bmw,m4,competition xdrive,2022,"2022 BMW M4 Competition, BMW Warranty+Service Contract+Full Service History, Full PPF, GCC","2022 BMW M4 Competition M xdrive Convertible• 3.0L Twin-Turbo Inline-6 • 503 HP / 650 Nm • 8-Speed Automatic • AWD
Price: 329,000 AED or 4,567 AED / Month with a 20% Down payment for 5 Years
-------------------------------------
- Mileage: 37,062 km
- Warranty: BMW Warranty valid till 2027
- Service Contract: BMW Service Contract valid till 2027
- Service History: Full BMW Service History
- Spec: GCC
- Condition: Excellent
- Keys: 2
- Full PPF
-------------------------------------
Full Options List Includes:
- 0-100 km/h ~3.8 sec
- Top Speed 250 km/h
- Remote Start
- Adaptive M Suspension
- M Sport Differential
- M Drive Modes (Comfort / Sport / Sport+)
- M Sport Exhaust System
- Fully Automatic Soft-Top Convertible Roof
- LED Headlights with DRL
- High Beam Assist
- Shadowline Exterior Trim
- Power Folding Side Mirrors
- M Sport Alloy Wheels (19""/20"" staggered)
- Full Body PPF Protection
- Full Merino Leather Interior
- Heated M Sport Seats with Memory
- Dual-Zone Climate Control
- Ambient Lighting
- Wind Deflector
- Interior Trim Finish (Aluminum / Carbon Fiber)
- Auto Dimming Mirrors
- BMW Live Cockpit Professional
- Digital Instrument Cluster
- Large Touchscreen Infotainment
- Navigation System
- Apple CarPlay & Android Auto
- Harman Kardon Sound System
- Wireless Charging
- Keyless Entry & Push Button Start
- Parking Sensors Front & Rear
- 360° Camera View
- Blind Spot Monitoring
- Lane Departure Warning
- Collision Warning with Brake Assist
- Adaptive Cruise Control
Lim ,VIN -CL00647
-----------------------
Zack:(English , Arabic) 0585121860
Basit:(English,Urdu) 0509760183
Ali:(English) 0502393318
---
GTA Cars 3, 4B Street, Al Qouz Ind 1, Dubai, UAE
⏰ Opening Hours: Every Day, 10:00AM - 8:00PM
----------------------------------------------------",https://dbz-images.dubizzle.com/images/2026/04/10/b5126d308a974fb49f8d6144bee07800-.jpeg?impolicy=dpv,329000.0,37062.0,convertible,,automatic,,used,5.0,GCC
23,audi,rs7,4.0 tfsi performance,2021,Audi RS7 Performance,"Audi RS7 Performance
pristine condition
Full PFF
FULLY serviced with new tires
Fully loaded
hp:591
Took really good care of the car my price is negotiable for serious buyers!
Options:
- Head Up Display
- Apple Carplay/Android Auto
- Active Sports Exhaust
- 360 Degree View Camera System
- Bang & Olufsen Premium Sound Systen",https://dbz-images.dubizzle.com/images/2026/04/15/437089cad6d1473f8249dec747f375a9-.jpeg?impolicy=dpv,,,,,,,,,
